id,name,keywords
1,In-Situ,"in situ, in-situ, insitu"
2,Ocean,ocean
4,Open Pit,"open pit, open-pit, op"
7,Placer,placer
8,Stockpile,"stockpile, sp, stockpiles"
10,Tailings,tailings
11,Underground,"underground, ug"
12,Underground Access,underground access
9,Surface (other),surface
3,Open Cast (Strip Mining),"open cast, strip mining, open-cast, strip-mining"
14,Brine/Salar,"brine, salar"
16,In Circuit,"in circuit, in-circuit"
